SA,AA,CA,UAW,SUC,AUC,CUC,UUCW,TCF,ECF,Size,Effort
1,1,2,9,6,10,15,355,0.81,0.84,247.67,7970
1,2,1,8,4,20,15,445,0.99,0.99,443.99,7962
0,0,3,9,1,5,20,355,1.03,0.8,299.94,7935
0,1,2,8,5,10,15,350,0.9,0.91,293.2,7805
1,2,1,8,1,10,16,345,0.9,0.91,289.11,7758
2,0,2,8,1,13,14,345,0.99,0.99,345.98,7643
0,2,1,7,3,18,15,420,0.94,1.02,409.41,7532
0,1,2,8,0,16,12,340,1.03,0.8,286.75,7451
0,1,2,8,2,10,15,335,0.94,1.02,328.87,7449
4,0,1,7,4,14,17,415,1.025,0.98,423.9,7427
1,2,1,8,5,16,10,335,0.92,0.78,246.14,7406
0,1,2,8,1,10,15,330,0.85,0.89,255.7,7365
1,0,2,7,9,8,19,410,0.75,0.81,253.33,7350
1,0,2,7,5,8,20,405,1.02,1.085,455.96,7303
0,1,2,8,2,15,11,325,1.095,0.95,346.4,7252
0,1,2,8,1,8,16,325,0.92,0.78,238.96,7245
0,2,1,7,2,15,16,400,0.75,0.81,247.25,7166
2,1,1,7,5,11,17,390,0.965,0.755,289.24,7119
0,1,2,8,3,9,14,315,0.92,0.78,231.78,7111
4,2,0,8,2,14,11,315,1.05,0.95,322.19,7044
1,0,2,7,5,14,15,390,0.71,0.73,205.77,7040
2,1,1,7,3,23,10,395,1.02,1.085,444.89,7028
0,1,2,8,1,16,10,315,1.03,0.8,266.15,6942
1,0,2,7,1,15,10,305,0.965,0.755,227.32,6814
0,0,3,9,2,19,12,380,0.78,0.79,239.7,6809
0,1,2,8,2,20,11,375,0.98,0.97,364.08,6802
1,1,3,12,0,14,11,305,0.78,0.51,126.1,6787
1,0,2,7,1,9,14,305,1.08,0.77,259.46,6764
0,2,1,7,4,15,14,380,1.05,0.95,386.03,6761
0,2,1,7,0,15,10,300,0.85,0.89,232.25,6725
1,0,2,7,1,16,9,300,1.02,1.085,339.76,6690
0,2,1,7,0,18,8,300,1.08,0.77,255.3,6600
2,1,1,7,0,17,8,290,0.94,1.02,284.76,6474
0,0,2,6,0,13,15,355,0.95,0.92,315.51,6433
1,0,2,7,1,13,10,285,0.78,0.79,179.93,6416
0,1,2,8,0,14,10,290,0.94,1.02,285.72,6412
0,0,2,6,4,20,9,355,0.9,0.94,305.41,6400
1,0,2,7,1,10,12,285,0.71,0.73,151.34,6360
0,0,2,6,0,13,15,355,0.9,0.91,295.66,6337
2,2,4,18,1,20,27,610,0.72,0.67,302.95,6240
1,0,2,7,1,11,11,280,0.78,0.51,114.17,6232
1,0,2,7,1,14,9,280,1.03,0.8,236.49,6173
0,0,2,6,0,12,15,345,1,0.92,322.92,6160
0,0,2,6,2,15,12,340,1.095,0.95,359.93,6117
2,1,1,7,2,13,9,275,0.75,0.81,171.32,6062
0,2,5,19,1,27,15,500,1.03,0.8,427.66,6051
1,1,5,18,3,26,15,500,0.72,0.67,249.88,6048
0,3,4,18,2,19,20,500,0.85,0.89,391.87,6035
0,0,2,6,1,19,5,270,0.965,0.755,201.09,6024
0,0,6,18,20,25,9,485,0.85,0.88,376.24,6023
2,2,4,18,5,25,20,575,1.118,0.995,659.66,5993
1,1,5,18,4,16,21,495,0.85,0.88,383.72,5985
0,3,4,18,5,21,17,490,0.75,0.81,308.61,5971
1,1,5,18,5,21,17,490,0.81,0.84,345.64,5962
1,1,5,18,6,16,20,490,0.85,0.89,384.3,5944
0,1,5,17,5,25,20,575,0.85,0.88,442.82,5940
0,0,2,6,0,14,8,260,0.98,0.97,252.86,5927
0,1,5,17,3,18,19,480,0.85,0.89,375.98,5885
1,1,5,18,5,16,20,485,1.08,0.77,418.29,5882
0,0,2,6,1,14,12,325,0.72,0.67,159.67,5880
2,2,4,18,3,26,14,485,0.82,0.79,325.84,5880
1,1,1,6,1,10,15,330,0.96,0.96,309.66,5876
0,0,2,6,0,3,20,330,0.85,0.89,254.18,5873
1,1,5,18,3,17,20,485,1.095,0.95,523.25,5865
0,0,6,18,2,17,20,480,0.965,0.755,362.83,5863
1,1,5,18,3,21,17,480,0.98,0.97,473.4,5856
0,3,4,18,2,18,18,460,1.05,0.95,476.81,5800
1,2,4,17,1,23,22,565,1.03,0.8,479.57,5791
0,2,5,19,5,30,10,475,0.95,0.92,431.76,5782
0,0,2,6,5,15,5,250,1,0.92,235.52,5778
2,2,4,18,5,18,17,460,0.85,0.89,361.61,5775
0,0,4,12,0,18,13,375,0.92,0.78,277.71,3037
0,2,2,10,9,1,2,85,0.75,0.81,57.71,1917
0,0,2,6,3,4,4,115,0.9,1.05,114.35,1173
