Target Dataset,#1,,,,,,,,,,,,
Simple Actors,Average Actors,Complex Actors,UAW,Simple UC,Average UC,Complex UC,UUCW,TCF,ECF,Real_P20,Real_Effort_Person_Hours,,
0,0,3,9,25,2,1,160,0.89,0.76,142.75,2286,,
,,,,,,,,,,,,,
Simple Actors,Average Actors,Complex Actors,UAW,Simple UC,Average UC,Complex UC,UUCW,TCF,ECF,Real_P20,Effort,Manhattan Distances,Euclidean Distances
1,1,2,9,6,10,15,355,0.81,0.84,398.5,7970,5451.33,5115.04106170224
1,2,1,8,4,20,15,445,0.99,0.99,398.1,7962,5321.18,5083.83428341247
0,0,3,9,1,5,20,355,1.03,0.8,396.75,7935,5185.16,4953.71204478016
0,1,2,8,5,10,15,350,0.9,0.91,390.25,7805,5141.16,4906.57813782681
1,2,1,8,1,10,16,345,0.9,0.91,387.9,7758,5025.33,4791.66370511329
2,0,2,8,1,13,14,345,0.99,0.99,382.15,7643,4995.31,4684.32247716786
0,2,1,7,3,18,15,420,0.94,1.02,376.6,7532,4829.18,4599.62618276747
0,1,2,8,0,16,12,340,1.03,0.8,372.55,7451,4817.31,4597.41808737252
0,1,2,8,2,10,15,335,0.94,1.02,372.45,7449,4884.355,4579.20015577229
4,0,1,7,4,14,17,415,1.025,0.98,371.35,7427,4775.05,4554.43882397162
1,2,1,8,5,16,10,335,0.92,0.78,370.3,7406,4729.17,4513.29580445377
0,1,2,8,1,10,15,330,0.85,0.89,368.25,7365,4789.19,4502.01588425674
1,0,2,7,9,8,19,410,0.75,0.81,367.5,7350,4742.455,4454.8324460663
1,0,2,7,5,8,20,405,1.02,1.085,365.15,7303,4611.395,4400.18580040946
0,1,2,8,2,15,11,325,1.095,0.95,362.6,7252,4603.05,4393.19530652804
0,1,2,8,1,8,16,325,0.92,0.78,362.25,7245,4608.19,4317.78369329683
0,2,1,7,2,15,16,400,0.75,0.81,358.3,7166,4546.08,4270.28640791809
2,1,1,7,5,11,17,390,0.965,0.755,355.95,7119,4456.05,4258.90431934083
0,1,2,8,3,9,14,315,0.92,0.78,355.55,7111,4399.35,4191.96243562606
4,2,0,8,2,14,11,315,1.05,0.95,352.2,7044,4465.21,4191.40442254145
1,0,2,7,5,14,15,390,0.71,0.73,352,7040,4467.455,4179.73361860837
2,1,1,7,3,23,10,395,1.02,1.085,351.4,7028,4292.18,4090.04278965392
0,1,2,8,1,16,10,315,1.03,0.8,347.1,6942,4154.08,3961.75945832783
1,0,2,7,1,15,10,305,0.965,0.755,340.7,6814,4225.14,3960.23421188697
0,0,3,9,2,19,12,380,0.78,0.79,340.45,6809,4216.3,3952.97230602492
0,1,2,8,2,20,11,375,0.98,0.97,340.1,6802,4129.36,3934.78450167223
1,1,3,12,0,14,11,305,0.78,0.51,339.35,6787,4102.2,3911.79064319654
1,0,2,7,1,9,14,305,1.08,0.77,338.2,6764,4179.35,3912.29179148233
0,2,1,7,4,15,14,380,1.05,0.95,338.05,6761,4063.17,3872.64599705421
0,2,1,7,0,15,10,300,0.85,0.89,336.25,6725,4025.455,3837.66427954882
1,0,2,7,1,16,9,300,1.02,1.085,334.5,6690,3939.2,3747.74159143877
0,2,1,7,0,18,8,300,1.08,0.77,330,6600,3803.31,3621.46007434847
2,1,1,7,0,17,8,290,0.94,1.02,323.7,6474,3827.22,3583.44262256283
0,0,2,6,0,13,15,355,0.95,0.92,321.65,6433,3734.14,3563.30324460324
1,0,2,7,1,13,10,285,0.78,0.79,320.8,6416,3736.31,3559.49463689721
0,1,2,8,0,14,10,290,0.94,1.02,320.6,6412,3791.19,3550.47729643495
0,0,2,6,4,20,9,355,0.9,0.94,320,6400,3677.21,3507.33759899158
1,0,2,7,1,10,12,285,0.71,0.73,318,6360,3731.16,3487.59243929104
0,0,2,6,0,13,15,355,0.9,0.91,316.85,6337,3917.26,3415.02430986955
2,2,4,18,1,20,27,610,0.72,0.67,312,6240,3544.36,3379.24430525524
1,0,2,7,1,11,11,280,0.78,0.51,311.6,6232,3486.18,3320.2882436921
1,0,2,7,1,14,9,280,1.03,0.8,308.65,6173,3543.27,3310.31434122199
0,0,2,6,0,12,15,345,1,0.92,308,6160,3493.395,3267.08938936862
0,0,2,6,2,15,12,340,1.095,0.95,305.85,6117,3371.19,3209.1745078914
2,1,1,7,2,13,9,275,0.75,0.81,303.1,6062,3613.18,3214.26834928262
0,2,5,19,1,27,15,500,1.03,0.8,302.55,6051,3606.26,3211.26019453423
1,1,5,18,3,26,15,500,0.72,0.67,302.4,6048,3592.17,3198.32300096472
0,3,4,18,2,19,20,500,0.85,0.89,301.75,6035,3328.08,3171.04903867001
0,0,2,6,1,19,5,270,0.965,0.755,301.2,6024,3541.16,3184.73813931381
0,0,6,18,20,25,9,485,0.85,0.88,301.15,6023,3629.463,3165.54088699056
2,2,4,18,5,25,20,575,1.118,0.995,299.65,5993,3533.16,3148.05479876066
1,1,5,18,4,16,21,495,0.85,0.88,299.25,5985,3514.19,3133.60240332114
0,3,4,18,5,21,17,490,0.75,0.81,298.55,5971,3505.16,3124.65246272285
1,1,5,18,5,21,17,490,0.81,0.84,298.1,5962,3484.17,3106.7388075762
1,1,5,18,6,16,20,490,0.85,0.89,297.2,5944,3573.16,3113.00642723397
0,1,5,17,5,25,20,575,0.85,0.88,297,5940,3220.3,3073.76187304742
0,0,2,6,0,14,8,260,0.98,0.97,296.35,5927,3417.17,3047.03676028039
0,1,5,17,3,18,19,480,0.85,0.89,294.25,5885,3418.2,3044.56861249669
1,1,5,18,5,16,20,485,1.08,0.77,294.1,5882,3241.26,3029.63711308797
0,0,2,6,1,14,12,325,0.72,0.67,294,5880,3423.1,3042.62534759046
2,2,4,18,3,26,14,485,0.82,0.79,294,5880,3244.27,3025.92003279994
1,1,1,6,1,10,15,330,0.96,0.96,293.8,5876,3237.17,3022.9490598586
0,0,2,6,0,3,20,330,0.85,0.89,293.65,5873,3404.395,3027.68592792003
1,1,5,18,3,17,20,485,1.095,0.95,293.25,5865,3397.08,3025.17255799566
0,0,6,18,2,17,20,480,0.965,0.755,293.15,5863,3391.3,3018.2095772494
1,1,5,18,3,21,17,480,0.98,0.97,292.8,5856,3314.35,2960.4374780934
0,3,4,18,2,18,18,460,1.05,0.95,290,5800,3419.18,2964.05955088625
1,2,4,17,1,23,22,565,1.03,0.8,289.55,5791,3313.22,2944.13434292663
0,2,5,19,5,30,10,475,0.95,0.92,289.1,5782,3054.27,2924.48697000004
0,0,2,6,5,15,5,250,1,0.92,288.9,5778,3286.17,2935.5411798338
2,2,4,18,5,18,17,460,0.85,0.89,288.75,5775,454.05,283.520724639311
0,0,4,12,0,18,13,375,0.92,0.78,151.85,3037,1035.19,941.133902322087
0,2,2,10,9,1,2,85,0.75,0.81,95.85,1917,1758.3,1682.75253207357
0,0,2,6,3,4,4,115,0.9,1.05,58.65,1173,2193.17,2113.61468070696
0,0,3,9,3,10,6,205,0.85,0.89,37.1,742,2274.1,2241.10820930182
0,0,4,12,4,5,6,160,0.82,0.79,30.7,614,2434.16,2363.53422145735
0,0,3,9,3,2,5,115,0.85,0.88,24.6,492,2685.36,2579.19155446043
0,0,2,6,3,7,0,85,0.78,0.51,13.85,277,1156.31,819.628007147145
0,1,4,14,4,15,23,515,0.94,1.02,179.65,3593,1242.18,1174.59951523913
