Simple Actors,Average Actors,Complex Actors,UAW,Simple UC,Average UC,Complex UC,UUCW,TCF,ECF,Real_P20,Real_Effort_Person_Hours,,
0,1,1,5,2,6,3,115,0.93,0.56,90.9,1818,,
,,,,,,,,,,,,,
Simple Actors,Average Actors,Complex Actors,UAW,Simple UC,Average UC,Complex UC,UUCW,TCF,ECF,Real_P20,Effort,Manhattan Distances,Euclidean Distances
1,1,2,9,6,10,15,355,0.81,0.84,398.5,7970,6507.49,6152.88478589515
1,2,1,8,4,20,15,445,0.99,0.99,398.1,7962,6383.34,6121.73186831962
0,0,3,9,1,5,20,355,1.03,0.8,396.75,7935,6245.38,5991.62524891202
0,1,2,8,5,10,15,350,0.9,0.91,390.25,7805,6193.38,5944.46777461195
1,2,1,8,1,10,16,345,0.9,0.91,387.9,7758,6081.49,5829.55497345209
2,0,2,8,1,13,14,345,0.99,0.99,382.15,7643,6047.47,5722.16001276616
0,2,1,7,3,18,15,420,0.94,1.02,376.6,7532,5883.34,5637.50911907023
0,1,2,8,0,16,12,340,1.03,0.8,372.55,7451,5871.47,5635.31110158969
0,1,2,8,2,10,15,335,0.94,1.02,372.45,7449,5940.515,5617.0424767332
4,0,1,7,4,14,17,415,1.025,0.98,371.35,7427,5833.23,5592.34414610725
1,2,1,8,5,16,10,335,0.92,0.78,370.3,7406,5783.41,5551.18051546696
0,1,2,8,1,10,15,330,0.85,0.89,368.25,7365,5857.43,5539.88854534999
1,0,2,7,9,8,19,410,0.75,0.81,367.5,7350,5802.615,5492.68916685853
1,0,2,7,5,8,20,405,1.02,1.085,365.15,7303,5665.555,5438.07053828148
0,1,2,8,2,15,11,325,1.095,0.95,362.6,7252,5657.23,5431.07844249188
0,1,2,8,1,8,16,325,0.92,0.78,362.25,7245,5658.43,5355.61239214527
0,2,1,7,2,15,16,400,0.75,0.81,358.3,7166,5602.23,5308.15071745801
2,1,1,7,5,11,17,390,0.965,0.755,355.95,7119,5512.23,5296.79054225292
0,1,2,8,3,9,14,315,0.92,0.78,355.55,7111,5451.51,5229.84045325476
4,2,0,8,2,14,11,315,1.05,0.95,352.2,7044,5525.39,5229.25741165034
1,0,2,7,5,14,15,390,0.71,0.73,352,7040,5519.615,5217.55184772753
2,1,1,7,3,23,10,395,1.02,1.085,351.4,7028,5346.34,5127.91732261744
0,1,2,8,1,16,10,315,1.03,0.8,347.1,6942,5208.23,4999.62538989173
1,0,2,7,1,15,10,305,0.965,0.755,340.7,6814,5285.38,4998.05733014338
0,0,3,9,2,19,12,380,0.78,0.79,340.45,6809,5270.46,4990.80416071398
0,1,2,8,2,20,11,375,0.98,0.97,340.1,6802,5187.2,4972.64989970136
1,1,3,12,0,14,11,305,0.78,0.51,339.35,6787,5156.36,4949.66201539055
1,0,2,7,1,9,14,305,1.08,0.77,338.2,6764,5233.51,4950.1197123403
0,2,1,7,4,15,14,380,1.05,0.95,338.05,6761,5113.41,4910.50029175236
0,2,1,7,0,15,10,300,0.85,0.89,336.25,6725,5079.615,4875.52594944638
1,0,2,7,1,16,9,300,1.02,1.085,334.5,6690,4989.36,4785.59579013941
0,2,1,7,0,18,8,300,1.08,0.77,330,6600,4853.47,4659.3045845598
2,1,1,7,0,17,8,290,0.94,1.02,323.7,6474,4879.38,4621.2579596902
0,0,2,6,0,13,15,355,0.95,0.92,321.65,6433,4788.38,4601.15312453302
1,0,2,7,1,13,10,285,0.78,0.79,320.8,6416,4790.47,4597.34577900118
0,1,2,8,0,14,10,290,0.94,1.02,320.6,6412,4847.41,4588.30722002134
0,0,2,6,4,20,9,355,0.9,0.94,320,6400,4731.39,4545.19186364008
1,0,2,7,1,10,12,285,0.71,0.73,318,6360,4783.38,4525.39071499909
0,0,2,6,0,13,15,355,0.9,0.91,316.85,6337,4975.32,4449.72640239824
2,2,4,18,1,20,27,610,0.72,0.67,312,6240,4598.2,4417.09384380726
1,0,2,7,1,11,11,280,0.78,0.51,311.6,6232,4540.34,4358.13699504731
1,0,2,7,1,14,9,280,1.03,0.8,308.65,6173,4595.43,4348.10891474673
0,0,2,6,0,12,15,345,1,0.92,308,6160,4545.555,4304.90315562673
0,0,2,6,2,15,12,340,1.095,0.95,305.85,6117,4421.43,4247.02591172929
2,1,1,7,2,13,9,275,0.75,0.81,303.1,6062,4671.34,4250.56620553074
0,2,5,19,1,27,15,500,1.03,0.8,302.55,6051,4666.32,4247.57060638196
1,1,5,18,3,26,15,500,0.72,0.67,302.4,6048,4650.41,4234.61380946362
0,3,4,18,2,19,20,500,0.85,0.89,301.75,6035,4380.23,4208.87610167489
0,0,2,6,1,19,5,270,0.965,0.755,301.2,6024,4637.4,4221.35536395599
0,0,6,18,20,25,9,485,0.85,0.88,301.15,6023,4693.623,4200.36512991061
2,2,4,18,5,25,20,575,1.118,0.995,299.65,5993,4595.4,4184.36412239662
1,1,5,18,4,16,21,495,0.85,0.88,299.25,5985,4578.43,4169.96955563227
0,3,4,18,5,21,17,490,0.75,0.81,298.55,5971,4569.4,4161.00674029735
1,1,5,18,5,21,17,490,0.81,0.84,298.1,5962,4550.41,4143.07761396042
1,1,5,18,6,16,20,490,0.85,0.89,297.2,5944,4637.4,4147.68647667588
0,1,5,17,5,25,20,575,0.85,0.88,297,5940,4272.46,4111.56930752724
